dc_arxiv_names,oecd_names
Medicine and Health Sciences: Medical Specialties: Radiology,3.2 Clinical medicine
Medicine and Health Sciences: Medical Specialties: Rheumatology,3.2 Clinical medicine
Medicine and Health Sciences: Medical Specialties: Sleep Medicine,3.2 Clinical medicine
Medicine and Health Sciences: Medical Specialties: Sports Medicine,3.2 Clinical medicine
Medicine and Health Sciences: Medical Specialties: Surgery,3.2 Clinical medicine
Medicine and Health Sciences: Medical Specialties: Trauma,3.1 Basic medicine
Medicine and Health Sciences: Medical Specialties: Tropical Medicine,3.1 Basic medicine
Medicine and Health Sciences: Medical Specialties: Urology,3.1 Basic medicine
Medicine and Health Sciences: Medical Specialties: Other Medical Specialties,3.3 Health sciences
Medicine and Health Sciences: Mental and Social Health,3.3 Health sciences
Medicine and Health Sciences: Mental and Social Health: Art Therapy,3.3 Health sciences
Medicine and Health Sciences: Mental and Social Health: Clinical and Medical Social Work,3.3 Health sciences
Medicine and Health Sciences: Mental and Social Health: Cognitive Behavioral Therapy,3.3 Health sciences
Medicine and Health Sciences: Mental and Social Health: Community Health,3.3 Health sciences
Medicine and Health Sciences: Mental and Social Health: Marriage and Family Therapy and Counseling,3.3 Health sciences
Medicine and Health Sciences: Mental and Social Health: Psychiatric and Mental Health,3.3 Health sciences
Medicine and Health Sciences: Mental and Social Health: Psychoanalysis and Psychotherapy,3.2 Clinical medicine
Medicine and Health Sciences: Mental and Social Health: Substance Abuse and Addiction,3.3 Health sciences
Medicine and Health Sciences: Mental and Social Health: Other Mental and Social Health,3.3 Health sciences
Medicine and Health Sciences: Nanotechnology,3.3 Health sciences
Medicine and Health Sciences: Nanotechnology: Nanomedicine,3.3 Health sciences
Medicine and Health Sciences: Nursing,3.3 Health sciences
Medicine and Health Sciences: Nursing: Critical Care Nursing,3.3 Health sciences
Medicine and Health Sciences: Nursing: Family Practice Nursing,3.3 Health sciences
Medicine and Health Sciences: Nursing: Geriatric Nursing,3.3 Health sciences
"Medicine and Health Sciences: Nursing: Maternal, Child Health and Neonatal Nursing",3.3 Health sciences
Medicine and Health Sciences: Nursing: Nursing Administration,3.3 Health sciences
Medicine and Health Sciences: Nursing: Nursing Midwifery,3.3 Health sciences
Medicine and Health Sciences: Nursing: Occupational and Environmental Health Nursing,3.3 Health sciences
Medicine and Health Sciences: Nursing: Palliative Nursing,3.3 Health sciences
Medicine and Health Sciences: Nursing: Pediatric Nursing,3.3 Health sciences
"Medicine and Health Sciences: Nursing: Perioperative, Operating Room and Surgical Nursing",3.3 Health sciences
Medicine and Health Sciences: Nursing: Psychiatric and Mental Health Nursing,3.3 Health sciences
Medicine and Health Sciences: Nursing: Public Health and Community Nursing,3.3 Health sciences
Medicine and Health Sciences: Nursing: Other Nursing,3.3 Health sciences
Medicine and Health Sciences: Optometry,3.3 Health sciences
Medicine and Health Sciences: Organisms: Algae,1.6 Biological sciences
Medicine and Health Sciences: Organisms: Animals,3.1 Basic medicine
Medicine and Health Sciences: Organisms: Archaea,1.6 Biological sciences
Medicine and Health Sciences: Organisms: Bacteria,1.6 Biological sciences
Medicine and Health Sciences: Organisms: Fungi,3.1 Basic medicine
Medicine and Health Sciences: Organisms: Mesomycetozoea,3.1 Basic medicine
Medicine and Health Sciences: Organisms: Plants,1.6 Biological sciences
Medicine and Health Sciences: Organisms: Viruses,3.1 Basic medicine
Medicine and Health Sciences: Pharmacy and Pharmaceutical Sciences,3.3 Health sciences
Medicine and Health Sciences: Pharmacy and Pharmaceutical Sciences: Medicinal and Pharmaceutical Chemistry,3.3 Health sciences
Medicine and Health Sciences: Pharmacy and Pharmaceutical Sciences: Natural Products Chemistry and,3.3 Health sciences
Medicine and Health Sciences: Pharmacy and Pharmaceutical Sciences: Pharmaceutics and Drug Design,3.3 Health sciences
Medicine and Health Sciences: Pharmacy and Pharmaceutical Sciences: Pharmacoeconomics and Pharmaceutical Economics,3.3 Health sciences
"Medicine and Health Sciences: Pharmacy and Pharmaceutical Sciences: Pharmacy Administration, Policy and Regulation",3.3 Health sciences
Medicine and Health Sciences: Pharmacy and Pharmaceutical Sciences: Other Pharmacy and Pharmaceutical Sciences,3.3 Health sciences
Medicine and Health Sciences: Psychiatry and Psychology,5.1 Psychology
Medicine and Health Sciences: Psychiatry and Psychology: Behavioral Disciplines and Activities,5.1 Psychology
Medicine and Health Sciences: Psychiatry and Psychology: Dance Movement Therapy,5.1 Psychology
Medicine and Health Sciences: Psychiatry and Psychology: Mental Disorders,3.3 Health sciences
Medicine and Health Sciences: Psychiatry and Psychology: Psychological Phenomena and Processes,5.1 Psychology
Medicine and Health Sciences: Psychiatry and Psychology: Other Psychiatry and Psychology,5.1 Psychology
Medicine and Health Sciences: Public Health,3.3 Health sciences
Medicine and Health Sciences: Public Health: Clinical Epidemiology,3.2 Clinical medicine
Medicine and Health Sciences: Public Health: Community Health and Preventive Medicine,3.3 Health sciences
Medicine and Health Sciences: Public Health: Environmental Public Health,3.3 Health sciences
Medicine and Health Sciences: Public Health: Epidemiology,3.3 Health sciences
Medicine and Health Sciences: Public Health: Health and Medical Physics,3.3 Health sciences
Medicine and Health Sciences: Public Health: Health Services Administration,3.3 Health sciences
Medicine and Health Sciences: Public Health: Health Services Research,3.3 Health sciences
Medicine and Health Sciences: Public Health: Influenza Humans,3.1 Basic medicine
Medicine and Health Sciences: Public Health: International Public Health,3.3 Health sciences
Medicine and Health Sciences: Public Health: Maternal and Child Health,3.3 Health sciences
Medicine and Health Sciences: Public Health: Occupational Health and Industrial Hygiene,3.3 Health sciences
Medicine and Health Sciences: Public Health: Patient Safety,3.3 Health sciences
Medicine and Health Sciences: Public Health: Public Health Education and Promotion,3.3 Health sciences
Medicine and Health Sciences: Public Health: Women's Health,3.3 Health sciences
Medicine and Health Sciences: Public Health: Other Public Health,3.3 Health sciences
Medicine and Health Sciences: Rehabilitation and Therapy,3.3 Health sciences
Medicine and Health Sciences: Rehabilitation and Therapy: Kinesiotherapy,3.3 Health sciences
Medicine and Health Sciences: Rehabilitation and Therapy: Movement and Mind-Body Therapies,3.3 Health sciences
Medicine and Health Sciences: Rehabilitation and Therapy: Occupational Therapy,3.3 Health sciences
Medicine and Health Sciences: Rehabilitation and Therapy: Orthotics and Prosthetics,3.3 Health sciences
Medicine and Health Sciences: Rehabilitation and Therapy: Physical Therapy,3.3 Health sciences
Medicine and Health Sciences: Rehabilitation and Therapy: Physiotherapy,3.3 Health sciences
Medicine and Health Sciences: Rehabilitation and Therapy: Recreational Therapy,3.3 Health sciences
Medicine and Health Sciences: Rehabilitation and Therapy: Respiratory Therapy,3.3 Health sciences
Medicine and Health Sciences: Rehabilitation and Therapy: Somatic Bodywork and Related Therapeutic Practices,3.3 Health sciences
Medicine and Health Sciences: Rehabilitation and Therapy: Vocational Rehabilitation Counseling,3.3 Health sciences
Medicine and Health Sciences: Rehabilitation and Therapy: Other Rehabilitation and Therapy,3.3 Health sciences
Medicine and Health Sciences: Veterinary Medicine,4.3 Veterinary science
Medicine and Health Sciences: Veterinary Medicine: Comparative and Laboratory Animal Medicine,4.3 Veterinary science
Medicine and Health Sciences: Veterinary Medicine: Large or Food Animal and Equine Medicine,4.3 Veterinary science
Medicine and Health Sciences: Veterinary Medicine: Small or Companion Animal Medicine,4.3 Veterinary science
Medicine and Health Sciences: Veterinary Medicine: Veterinary Anatomy,4.3 Veterinary science
Medicine and Health Sciences: Veterinary Medicine: Veterinary Infectious Diseases,4.3 Veterinary science
Medicine and Health Sciences: Veterinary Medicine: Veterinary Microbiology and Immunobiology,4.3 Veterinary science
Medicine and Health Sciences: Veterinary Medicine: Veterinary Pathology and Pathobiology,4.3 Veterinary science
Medicine and Health Sciences: Veterinary Medicine: Veterinary Physiology,4.3 Veterinary science
"Medicine and Health Sciences: Veterinary Medicine: Veterinary Preventive Medicine, Epidemiology, and Public Health",4.3 Veterinary science
Medicine and Health Sciences: Veterinary Medicine: Veterinary Toxicology and Pharmacology,4.3 Veterinary science
Medicine and Health Sciences: Veterinary Medicine: Other Veterinary Medicine,4.3 Veterinary science
Physical Sciences and Mathematics,1.3 Physical sciences
Physical Sciences and Mathematics: Applied Mathematics,1.3 Physical sciences
Physical Sciences and Mathematics: Applied Mathematics: Control Theory,1.3 Physical sciences
Physical Sciences and Mathematics: Applied Mathematics: Dynamic Systems,1.3 Physical sciences
Physical Sciences and Mathematics: Applied Mathematics: Non-linear Dynamics,1.3 Physical sciences
Physical Sciences and Mathematics: Applied Mathematics: Numerical Analysis and Computation,1.1 Mathematics
Physical Sciences and Mathematics: Applied Mathematics: Ordinary Differential Equations and Applied Dynamics,1.3 Physical sciences
Physical Sciences and Mathematics: Applied Mathematics: Partial Differential Equations,1.3 Physical sciences
Physical Sciences and Mathematics: Applied Mathematics: Special Functions,1.1 Mathematics
Physical Sciences and Mathematics: Applied Mathematics: Other Applied Mathematics,1.3 Physical sciences
Physical Sciences and Mathematics: Astrophysics and Astronomy,1.3 Physical sciences
"Physical Sciences and Mathematics: Astrophysics and Astronomy: Cosmology, Relativity, and Gravity",1.3 Physical sciences
Physical Sciences and Mathematics: Astrophysics and Astronomy: External Galaxies,1.3 Physical sciences
Physical Sciences and Mathematics: Astrophysics and Astronomy: Instrumentation,1.3 Physical sciences
Physical Sciences and Mathematics: Astrophysics and Astronomy: Physical Processes,1.3 Physical sciences
"Physical Sciences and Mathematics: Astrophysics and Astronomy: Stars, Interstellar Medium and the Galaxy",1.3 Physical sciences
Physical Sciences and Mathematics: Astrophysics and Astronomy: The Sun and the Solar System,1.3 Physical sciences
Physical Sciences and Mathematics: Astrophysics and Astronomy: Other Astrophysics and Astronomy,1.3 Physical sciences
Physical Sciences and Mathematics: Chemistry,1.4 Chemical sciences
Physical Sciences and Mathematics: Chemistry: Analytical Chemistry,1.4 Chemical sciences
Physical Sciences and Mathematics: Chemistry: Computational Chemistry,1.3 Physical sciences
Physical Sciences and Mathematics: Chemistry: Environmental Chemistry,1.4 Chemical sciences
Physical Sciences and Mathematics: Chemistry: Inorganic Chemistry,1.4 Chemical sciences
Physical Sciences and Mathematics: Chemistry: Materials Chemistry,1.4 Chemical sciences
Physical Sciences and Mathematics: Chemistry: Medicinal-Pharmaceutical Chemistry,1.3 Physical sciences
Physical Sciences and Mathematics: Chemistry: Organic Chemistry,1.4 Chemical sciences
Physical Sciences and Mathematics: Chemistry: Physical Chemistry,1.3 Physical sciences
Physical Sciences and Mathematics: Chemistry: Polymer Chemistry,1.4 Chemical sciences
Physical Sciences and Mathematics: Chemistry: Radiochemistry,1.3 Physical sciences
Physical Sciences and Mathematics: Chemistry: Other Chemistry,1.4 Chemical sciences
Physical Sciences and Mathematics: Computer Sciences,1.2 Computer and information sciences
Physical Sciences and Mathematics: Computer Sciences: Artificial Intelligence and Robotics,1.2 Computer and information sciences
Physical Sciences and Mathematics: Computer Sciences: Information Security,1.2 Computer and information sciences
Physical Sciences and Mathematics: Computer Sciences: Databases and Information Systems,1.2 Computer and information sciences
Physical Sciences and Mathematics: Computer Sciences: Graphics and Human Computer Interfaces,1.2 Computer and information sciences
Physical Sciences and Mathematics: Computer Sciences: Numerical Analysis and Scientific Computing,1.3 Physical sciences
Physical Sciences and Mathematics: Computer Sciences: OS and Networks,1.2 Computer and information sciences
Physical Sciences and Mathematics: Computer Sciences: Programming Languages and Compilers,1.2 Computer and information sciences
Physical Sciences and Mathematics: Computer Sciences: Software Engineering,1.2 Computer and information sciences
Physical Sciences and Mathematics: Computer Sciences: Systems Architecture,1.2 Computer and information sciences
Physical Sciences and Mathematics: Computer Sciences: Theory and Algorithms,1.2 Computer and information sciences
Physical Sciences and Mathematics: Computer Sciences: Other Computer Sciences,1.2 Computer and information sciences
Physical Sciences and Mathematics: Data Science,1.3 Physical sciences
Physical Sciences and Mathematics: Earth Sciences,1.5 Earth and related environmental sciences
Physical Sciences and Mathematics: Earth Sciences: Biogeochemistry,1.5 Earth and related environmental sciences
Physical Sciences and Mathematics: Earth Sciences: Cosmochemistry,1.3 Physical sciences
Physical Sciences and Mathematics: Earth Sciences: Geochemistry,1.5 Earth and related environmental sciences
Physical Sciences and Mathematics: Earth Sciences: Geology,1.5 Earth and related environmental sciences
Physical Sciences and Mathematics: Earth Sciences: Geomorphology,1.5 Earth and related environmental sciences
Physical Sciences and Mathematics: Earth Sciences: Geophysics and Seismology,1.5 Earth and related environmental sciences
Physical Sciences and Mathematics: Earth Sciences: Glaciology,1.5 Earth and related environmental sciences
Physical Sciences and Mathematics: Earth Sciences: Hydrology,1.5 Earth and related environmental sciences
Physical Sciences and Mathematics: Earth Sciences: Mineral Physics,1.5 Earth and related environmental sciences
Physical Sciences and Mathematics: Earth Sciences: Paleobiology,1.5 Earth and related environmental sciences
Physical Sciences and Mathematics: Earth Sciences: Paleontology,1.5 Earth and related environmental sciences
Physical Sciences and Mathematics: Earth Sciences: Sedimentology,1.5 Earth and related environmental sciences
Physical Sciences and Mathematics: Earth Sciences: Soil Science,1.5 Earth and related environmental sciences
Physical Sciences and Mathematics: Earth Sciences: Speleology,1.5 Earth and related environmental sciences
Physical Sciences and Mathematics: Earth Sciences: Stratigraphy,1.5 Earth and related environmental sciences
Physical Sciences and Mathematics: Earth Sciences: Tectonics and Structure,1.5 Earth and related environmental sciences
Physical Sciences and Mathematics: Earth Sciences: Volcanology,1.5 Earth and related environmental sciences
Physical Sciences and Mathematics: Earth Sciences: Other Earth Sciences,1.5 Earth and related environmental sciences
Physical Sciences and Mathematics: Environmental Sciences,1.5 Earth and related environmental sciences
Physical Sciences and Mathematics: Environmental Sciences: Environmental Education,1.5 Earth and related environmental sciences
Physical Sciences and Mathematics: Environmental Sciences: Environmental Health and Protection,1.5 Earth and related environmental sciences
Physical Sciences and Mathematics: Environmental Sciences: Environmental Indicators and Impact Assessment,1.5 Earth and related environmental sciences
Physical Sciences and Mathematics: Environmental Sciences: Environmental Monitoring,1.5 Earth and related environmental sciences
Physical Sciences and Mathematics: Environmental Sciences: Natural Resource Economics,1.5 Earth and related environmental sciences
Physical Sciences and Mathematics: Environmental Sciences: Natural Resources and Conservation,1.5 Earth and related environmental sciences
Physical Sciences and Mathematics: Environmental Sciences: Natural Resources Management and Policy,1.5 Earth and related environmental sciences
"Physical Sciences and Mathematics: Environmental Sciences: Oil, Gas, and Energy",1.5 Earth and related environmental sciences
Physical Sciences and Mathematics: Environmental Sciences: Sustainability,1.5 Earth and related environmental sciences
Physical Sciences and Mathematics: Environmental Sciences: Water Resource Management,1.5 Earth and related environmental sciences
Physical Sciences and Mathematics: Environmental Sciences: Other Environmental Sciences,1.5 Earth and related environmental sciences
Physical Sciences and Mathematics: Mathematics,1.1 Mathematics
Physical Sciences and Mathematics: Mathematics: Algebraic Geometry,1.1 Mathematics
Physical Sciences and Mathematics: Mathematics: Analysis,1.1 Mathematics
Physical Sciences and Mathematics: Mathematics: Discrete Mathematics and Combinatorics,1.1 Mathematics
Physical Sciences and Mathematics: Mathematics: Dynamical Systems,1.1 Mathematics
Physical Sciences and Mathematics: Mathematics: Geometry and Topology,1.1 Mathematics
Physical Sciences and Mathematics: Mathematics: Harmonic Analysis and Representation,1.1 Mathematics
Physical Sciences and Mathematics: Mathematics: Logic and Foundations,1.1 Mathematics
Physical Sciences and Mathematics: Mathematics: Set Theory,1.1 Mathematics
Physical Sciences and Mathematics: Mathematics: Other Mathematics,1.1 Mathematics
Physical Sciences and Mathematics: Oceanography and Atmospheric Sciences and Meteorology,1.3 Physical sciences
Physical Sciences and Mathematics: Oceanography and Atmospheric Sciences and Meteorology: Atmospheric Sciences,1.5 Earth and related environmental sciences
Physical Sciences and Mathematics: Oceanography and Atmospheric Sciences and Meteorology: Climate,1.5 Earth and related environmental sciences
Physical Sciences and Mathematics: Oceanography and Atmospheric Sciences and Meteorology: Fresh Water Studies,1.5 Earth and related environmental sciences
Physical Sciences and Mathematics: Oceanography and Atmospheric Sciences and Meteorology: Other,1.5 Earth and related environmental sciences
Oceanography and Atmospheric Sciences and Meteorology,1.5 Earth and related environmental sciences
Physical Sciences and Mathematics: Physics,1.3 Physical sciences
"Physical Sciences and Mathematics: Physics: Atomic, Molecular and Optical Physics",1.3 Physical sciences
Physical Sciences and Mathematics: Physics: Biological and Chemical Physics,1.3 Physical sciences
Physical Sciences and Mathematics: Physics: Condensed Matter Physics,1.3 Physical sciences
Physical Sciences and Mathematics: Physics: Elementary Particles and Fields and String Theory,1.3 Physical sciences
Physical Sciences and Mathematics: Physics: Engineering Physics,1.3 Physical sciences
Physical Sciences and Mathematics: Physics: Fluid Dynamics,1.3 Physical sciences
Physical Sciences and Mathematics: Physics: Nuclear,1.3 Physical sciences
Physical Sciences and Mathematics: Physics: Optics,1.3 Physical sciences
Physical Sciences and Mathematics: Physics: Plasma and Beam Physics,1.3 Physical sciences
Physical Sciences and Mathematics: Physics: Quantum Physics,1.3 Physical sciences
"Physical Sciences and Mathematics: Physics: Statistical, Nonlinear, and Soft Matter Physics",1.3 Physical sciences
Physical Sciences and Mathematics: Physics: Other Physics,1.3 Physical sciences
Physical Sciences and Mathematics: Statistics and Probability,1.1 Mathematics
Physical Sciences and Mathematics: Statistics and Probability: Applied Statistics,1.3 Physical sciences
Physical Sciences and Mathematics: Statistics and Probability: Biometry,1.3 Physical sciences
Physical Sciences and Mathematics: Statistics and Probability: Biostatistics,1.3 Physical sciences
Physical Sciences and Mathematics: Statistics and Probability: Categorical Data Analysis,1.1 Mathematics
Physical Sciences and Mathematics: Statistics and Probability: Clinical Trials,1.3 Physical sciences
Physical Sciences and Mathematics: Statistics and Probability: Design of Experiments and Sample Surveys,1.3 Physical sciences
Physical Sciences and Mathematics: Statistics and Probability: Institutional and Historical,1.3 Physical sciences
Physical Sciences and Mathematics: Statistics and Probability: Longitudinal Data Analysis and Time Series,1.3 Physical sciences
Physical Sciences and Mathematics: Statistics and Probability: Microarrays,1.3 Physical sciences
Physical Sciences and Mathematics: Statistics and Probability: Multivariate Analysis,1.3 Physical sciences
Physical Sciences and Mathematics: Statistics and Probability: Probability,1.1 Mathematics
Physical Sciences and Mathematics: Statistics and Probability: Statistical Methodology,1.3 Physical sciences
Physical Sciences and Mathematics: Statistics and Probability: Statistical Models,1.3 Physical sciences
Physical Sciences and Mathematics: Statistics and Probability: Statistical Theory,1.1 Mathematics
Physical Sciences and Mathematics: Statistics and Probability: Survival Analysis,1.3 Physical sciences
Physical Sciences and Mathematics: Statistics and Probability: Vital and Health Statistics,1.3 Physical sciences
Physical Sciences and Mathematics: Statistics and Probability: Other Statistics and Probability,1.3 Physical sciences
Physical Sciences and Mathematics: Other Physical Sciences and Mathematics,1.3 Physical sciences
Social and Behavioral Sciences,5.1 Psychology
Social and Behavioral Sciences: Agricultural and Resource Economics,5.2 Economics and business
Social and Behavioral Sciences: Agricultural and Resource Economics: Food Security,5.2 Economics and business
Social and Behavioral Sciences: Animal Studies,5.1 Psychology
Social and Behavioral Sciences: Anthropology,5.4 Sociology
Social and Behavioral Sciences: Anthropology: Archaeological Anthropology,6.1 History and archaeology
Social and Behavioral Sciences: Anthropology: Biological and Physical Anthropology,5.1 Psychology
Social and Behavioral Sciences: Anthropology: Folklore,5.4 Sociology
Social and Behavioral Sciences: Anthropology: Linguistic Anthropology,5.4 Sociology
Social and Behavioral Sciences: Anthropology: Social and Cultural Anthropology,5.4 Sociology
Social and Behavioral Sciences: Anthropology: Other Anthropology,5.4 Sociology
Social and Behavioral Sciences: Cognitive Science,5.1 Psychology
Social and Behavioral Sciences: Communication,5.8 Media and communications
Social and Behavioral Sciences: Communication: Broadcast and Video Studies,5.8 Media and communications
Social and Behavioral Sciences: Communication: Communication Technology and New Media,5.8 Media and communications
Social and Behavioral Sciences: Communication: Critical and Cultural Studies,5.8 Media and communications
"Social and Behavioral Sciences: Communication: Gender, Race, Sexuality, and Ethnicity in Communication",5.4 Sociology
Social and Behavioral Sciences: Communication: Graphic Communications,5.8 Media and communications
Social and Behavioral Sciences: Communication: Health Communication,5.8 Media and communications
Social and Behavioral Sciences: Communication: International and Intercultural Communication,5.4 Sociology
Social and Behavioral Sciences: Communication: Interpersonal and Small Group Communication,5.4 Sociology
Social and Behavioral Sciences: Communication: Journalism Studies,5.8 Media and communications
Social and Behavioral Sciences: Communication: Mass Communication,5.8 Media and communications
Social and Behavioral Sciences: Communication: Organizational Communication,5.4 Sociology
Social and Behavioral Sciences: Communication: Public Relations and Advertising,5.8 Media and communications
Social and Behavioral Sciences: Communication: Publishing,5.8 Media and communications
Social and Behavioral Sciences: Communication: Social Influence and Political Communication,5.4 Sociology
Social and Behavioral Sciences: Communication: Social Media,5.8 Media and communications
Social and Behavioral Sciences: Communication: Speech and Rhetorical Studies,5.8 Media and communications
Social and Behavioral Sciences: Communication: Other Communication,5.8 Media and communications
Social and Behavioral Sciences: Counseling,5.1 Psychology
Social and Behavioral Sciences: Counseling: Counselor Education,5.3 Educational sciences
Social and Behavioral Sciences: Development Studies,5.4 Sociology
Social and Behavioral Sciences: Disability Studies,5.4 Sociology
Social and Behavioral Sciences: Economics,5.2 Economics and business
Social and Behavioral Sciences: Economics: Behavioral Economics,5.2 Economics and business
Social and Behavioral Sciences: Economics: Econometrics,5.2 Economics and business
Social and Behavioral Sciences: Economics: Economic History,5.2 Economics and business
Social and Behavioral Sciences: Economics: Economic Theory,5.2 Economics and business
Social and Behavioral Sciences: Economics: Finance,5.2 Economics and business
Social and Behavioral Sciences: Economics: Growth and Development,5.2 Economics and business
Social and Behavioral Sciences: Economics: Health Economics,Economics and business
Social and Behavioral Sciences: Economics: Income Distribution,5.2 Economics and business
Social and Behavioral Sciences: Economics: Industrial Organization,5.2 Economics and business
Social and Behavioral Sciences: Economics: International Economics,5.2 Economics and business
Social and Behavioral Sciences: Economics: Labor Economics,5.2 Economics and business
Social and Behavioral Sciences: Economics: Macroeconomics,5.2 Economics and business
Social and Behavioral Sciences: Economics: Political Economy,5.2 Economics and business
Social and Behavioral Sciences: Economics: Public Economics,5.2 Economics and business
Social and Behavioral Sciences: Economics: Regional Economics,5.2 Economics and business
Social and Behavioral Sciences: Economics: Other Economics,5.2 Economics and business
Social and Behavioral Sciences: Environmental Studies,5.4 Sociology
Social and Behavioral Sciences: Food Studies,5.4 Sociology
Social and Behavioral Sciences: Geography,5.7 Social and economic geography
Social and Behavioral Sciences: Geography: Geographic Information Sciences,5.7 Social and economic geography
Social and Behavioral Sciences: Geography: Human Geography,5.7 Social and economic geography
Social and Behavioral Sciences: Geography: Nature and Society Relations,5.7 Social and economic geography
Social and Behavioral Sciences: Geography: Physical and Environmental Geography,5.7 Social and economic geography
Social and Behavioral Sciences: Geography: Remote Sensing,5.7 Social and economic geography
Social and Behavioral Sciences: Geography: Spatial Science,5.7 Social and economic geography
Social and Behavioral Sciences: Geography: Other Geography,5.7 Social and economic geography
Social and Behavioral Sciences: International and Area Studies,5.9 Other social sciences
Social and Behavioral Sciences: International and Area Studies: African Studies,5.9 Other social sciences
Social and Behavioral Sciences: International and Area Studies: Asian Studies,5.9 Other social sciences
Social and Behavioral Sciences: International and Area Studies: Central American Studies,5.9 Other social sciences
Social and Behavioral Sciences: International and Area Studies: Eastern European Studies,5.9 Other social sciences
Social and Behavioral Sciences: International and Area Studies: Latin American Studies,5.9 Other social sciences
Social and Behavioral Sciences: International and Area Studies: Near and Middle Eastern Studies,5.9 Other social sciences
Social and Behavioral Sciences: International and Area Studies: Soviet and Post-Soviet Studies,5.9 Other social sciences
Social and Behavioral Sciences: International and Area Studies: Other International and Area Studies,5.9 Other social sciences
Social and Behavioral Sciences: Leadership Studies,5.4 Sociology
Social and Behavioral Sciences: Legal Studies,5.5 Law
Social and Behavioral Sciences: Legal Studies: Criminology and Criminal Justice,5.5 Law
Social and Behavioral Sciences: Legal Studies: Forensic Science and Technology,5.5 Law
Social and Behavioral Sciences: Legal Studies: Legal Theory,5.5 Law
Social and Behavioral Sciences: Legal Studies: Other Legal Studies,5.5 Law
Social and Behavioral Sciences: Leisure Studies,5.4 Sociology
Social and Behavioral Sciences: Library and Information Science,5.4 Sociology
Social and Behavioral Sciences: Library and Information Science: Archival Science,5.4 Sociology
Social and Behavioral Sciences: Library and Information Science: Cataloging and Metadata,5.4 Sociology
Social and Behavioral Sciences: Library and Information Science: Collection Development and,5.4 Sociology
Management,5.2 Economics and business
Social and Behavioral Sciences: Library and Information Science: Health Sciences and Medical,5.4 Sociology
Librarianship,6.4 Arts and music
Social and Behavioral Sciences: Library and Information Science: Information Literacy,5.4 Sociology
Social and Behavioral Sciences: Library and Information Science: Law Librarianship,5.5 Law
Social and Behavioral Sciences: Library and Information Science: Scholarly Communication,5.4 Sociology
Social and Behavioral Sciences: Library and Information Science: Scholarly Publishing,5.4 Sociology
Social and Behavioral Sciences: Linguistics,5.4 Sociology
Social and Behavioral Sciences: Linguistics: Anthropological Linguistics and Sociolinguistics,5.4 Sociology
Social and Behavioral Sciences: Linguistics: Applied Linguistics,5.4 Sociology
Social and Behavioral Sciences: Linguistics: Comparative and Historical Linguistics,5.4 Sociology
Social and Behavioral Sciences: Linguistics: Computational Linguistics,5.4 Sociology
Social and Behavioral Sciences: Linguistics: Discourse and Text Linguistics,5.4 Sociology
Social and Behavioral Sciences: Linguistics: First and Second Language Acquisition,5.4 Sociology
Social and Behavioral Sciences: Linguistics: Language Description and Documentation,5.4 Sociology
Social and Behavioral Sciences: Linguistics: Morphology,5.4 Sociology
Social and Behavioral Sciences: Linguistics: Phonetics and Phonology,5.4 Sociology
Social and Behavioral Sciences: Linguistics: Psycholinguistics and Neurolinguistics,5.1 Psychology
Social and Behavioral Sciences: Linguistics: Semantics and Pragmatics,5.4 Sociology
Social and Behavioral Sciences: Linguistics: Syntax,5.4 Sociology
Social and Behavioral Sciences: Linguistics: Typological Linguistics and Linguistic Diversity,5.4 Sociology
Social and Behavioral Sciences: Linguistics: Other Linguistics,5.4 Sociology
Social and Behavioral Sciences: Nonprofit Studies,5.4 Sociology
Social and Behavioral Sciences: Organization Development,5.4 Sociology
Social and Behavioral Sciences: Political Science,5.6 Political Science
Social and Behavioral Sciences: Political Science: American Politics,5.6 Political Science
Social and Behavioral Sciences: Political Science: Comparative Politics,5.6 Political Science
Social and Behavioral Sciences: Political Science: International Relations,5.6 Political Science
Social and Behavioral Sciences: Political Science: Models and Methods,5.6 Political Science
Social and Behavioral Sciences: Political Science: Political Theory,5.6 Political Science
Social and Behavioral Sciences: Political Science: Other Political Science,5.6 Political Science
Social and Behavioral Sciences: Psychology,5.1 Psychology
Social and Behavioral Sciences: Psychology: Applied Behavior Analysis,5.1 Psychology
Social and Behavioral Sciences: Psychology: Biological Psychology,5.1 Psychology
Social and Behavioral Sciences: Psychology: Child Psychology,5.1 Psychology
Social and Behavioral Sciences: Psychology: Clinical Psychology,5.1 Psychology
Social and Behavioral Sciences: Psychology: Cognition and Perception,5.1 Psychology
Social and Behavioral Sciences: Psychology: Cognitive Psychology,5.1 Psychology
Social and Behavioral Sciences: Psychology: Community Psychology,5.1 Psychology
Social and Behavioral Sciences: Psychology: Comparative Psychology,5.1 Psychology
Social and Behavioral Sciences: Psychology: Counseling Psychology,5.1 Psychology
Social and Behavioral Sciences: Psychology: Developmental Psychology,5.1 Psychology
Social and Behavioral Sciences: Psychology: Experimental Analysis of Behavior,5.1 Psychology
Social and Behavioral Sciences: Psychology: Geropsychology,5.1 Psychology
Social and Behavioral Sciences: Psychology: Health Psychology,5.1 Psychology
Social and Behavioral Sciences: Psychology: Human Factors Psychology,5.1 Psychology
Social and Behavioral Sciences: Psychology: Industrial and Organizational Psychology,5.1 Psychology
Social and Behavioral Sciences: Psychology: Multicultural Psychology,5.1 Psychology
Social and Behavioral Sciences: Psychology: Pain Management,5.1 Psychology
